,id_str,created_at,text,entities.hashtags,lang,user.screen_name,user.id_str,user.followers_count,user.friends_count,retweeted_status.id_str,retweeted_status.created_at,retweeted_status.text,retweeted_status.entities.hashtags,retweeted_status.lang,retweeted_status.user.screen_name,retweeted_status.user.id_str,retweeted_status.user.followers_count,retweeted_status.user.friends_count
210,911052662686322688,Fri Sep 22 02:20:55 +0000 2017,"RT @peterjukes: This is just so delusional and narcissistic. Amped up by the right-wing press and Russian trolls, Britain's reputat… ",NO HASHTAGS,en,ianiw,82635817,120,109,910991370843762688,Thu Sep 21 22:17:22 +0000 2017,"This is just so delusional and narcissistic. Amped up by the right-wing press and Russian trolls, Britain's reputat… https://t.co/CTfBdYNWgN",NO HASHTAGS,en,peterjukes,45715838,26831.0,2995.0
211,911052684777619456,Fri Sep 22 02:21:01 +0000 2017,Does your company collect sensitive data in the #EU? Check your compliance level w/ @Orrick's #GDPR Assessment Tool… https://t.co/jf8Q66wOpI,"['EU', 'GDPR']",en,Trust_Anchor,3201264971,240,287,,,,NO HASHTAGS,,,,,
212,911052697738137600,Fri Sep 22 02:21:04 +0000 2017,"RT @UKIPNFKN: UK must change mindset to succeed with post-EU trade deals via @FarmersWeekly
#Brexit #Farming
https://t.co/syAgaOC8vQ","['Brexit', 'Farming']",en,dotdotdot17345,3259375172,852,787,911051184609349632,Fri Sep 22 02:15:03 +0000 2017,"UK must change mindset to succeed with post-EU trade deals via @FarmersWeekly
#Brexit #Farming
https://t.co/syAgaOC8vQ","['Brexit', 'Farming']",en,UKIPNFKN,3235220435,20276.0,18987.0
213,911052705803784192,Fri Sep 22 02:21:06 +0000 2017,"Trick or treaty: Brexit may frustrate co-operation on security in Europe
#Brexit
https://t.co/Jqxyrgfb38",['Brexit'],en,MarcEdgeley,106715844,4023,4006,,,,NO HASHTAGS,,,,,
214,911052717195513857,Fri Sep 22 02:21:08 +0000 2017,"#EU se sumerge lentamente; sus costas se está hundiendo hasta 3 milímetros por año.
https://t.co/pff3puyyyO https://t.co/0kxsLQ7LlK",['EU'],es,Ecovalue_mx,1684029110,192,238,,,,NO HASHTAGS,,,,,
215,911052766029770753,Fri Sep 22 02:21:20 +0000 2017,How to Pronounce Your Quadraped ↺RT❤ https://t.co/38A651yf95 #Ratios #lose #act #cease #leave #high #indicator #disgustin,"['Ratios', 'lose', 'act', 'cease', 'leave', 'high', 'indicator', 'disgustin']",en,DvSerenitygavin,727780713148211200,22,0,,,,NO HASHTAGS,,,,,
216,911052772811796481,Fri Sep 22 02:21:22 +0000 2017,"https://t.co/yZ0hxv8gLN
#AsianaAirlines. 
Familiar sight. 
#un #eu #nato #asean #africa #fifa #cnn #abc #cbs #cbn #nbc #voa #nyt #nyc","['AsianaAirlines', 'un', 'eu', 'nato', 'asean', 'africa', 'fifa', 'cnn', 'abc', 'cbs', 'cbn', 'nbc', 'voa', 'nyt', 'nyc']",en,JILL27595792,717717142217445377,11835,12192,,,,NO HASHTAGS,,,,,
217,911052786455994368,Fri Sep 22 02:21:25 +0000 2017,"RT @LogicalCampaign: FLASHBACK!!!

Question Time audience member of the year!!

#BBCQT #BrexitForensics #Brexit https://t.co/p6cgQURgwC","['BBCQT', 'BrexitForensics', 'Brexit']",en,RoodGridance,50425887,2285,1550,910983476110864384,Thu Sep 21 21:46:00 +0000 2017,"FLASHBACK!!!

Question Time audience member of the year!!

#BBCQT #BrexitForensics #Brexit https://t.co/p6cgQURgwC","['BBCQT', 'BrexitForensics', 'Brexit']",en,LogicalCampaign,345131103,114129.0,107807.0
218,911052824821354496,Fri Sep 22 02:21:34 +0000 2017,"Every person deserves to be safe, happy, healthy and equal. #RefugeesWelcome #1DayWithoutUs https://t.co/oyZHzYg9qd","['RefugeesWelcome', '1DayWithoutUs']",en,estefania_brnal,557414501,156,286,,,,NO HASHTAGS,,,,,
219,911052840340279296,Fri Sep 22 02:21:38 +0000 2017,How to Pronounce Cork Sniffer ↺RT❤ https://t.co/0ykaXUdFsU #coagulate #compact #cut #daze #penis #dips #crumble #leave #f,"['coagulate', 'compact', 'cut', 'daze', 'penis', 'dips', 'crumble', 'leave', 'f']",en,DvSerenitygavin,727780713148211200,22,0,,,,NO HASHTAGS,,,,,
