,class,p_neg,p_pos
56,pos,0.088659114326,0.911340885674
57,pos,0.0416035131769,0.958396486823
58,pos,0.415932646996,0.584067353004
59,pos,0.0669642857143,0.933035714286
60,pos,0.000834946119688,0.99916505388
61,pos,0.130061364893,0.869938635107
62,pos,0.233250296566,0.766749703434
63,neg,0.634044554019,0.365955445981
64,neg,0.788457433082,0.211542566918
65,pos,0.325783482619,0.674216517381
66,pos,0.5,0.5
67,pos,0.442708333333,0.557291666667
68,pos,0.0983384166308,0.901661583369
69,pos,0.492775521855,0.507224478145
70,pos,0.00363886030693,0.996361139693
71,pos,0.130014824085,0.869985175915
72,pos,0.487554449284,0.512445550716
73,pos,0.167699341937,0.832300658063
74,neg,0.795469992178,0.204530007822
75,neg,0.503191029914,0.496808970086
76,pos,0.311914715203,0.688085284797
77,pos,0.0669642857143,0.933035714286
78,neg,0.590662768245,0.409337231755
79,neg,0.912879597434,0.087120402566
80,neg,0.648995496758,0.351004503242
81,pos,0.0101615334537,0.989838466546
82,neg,0.646236187204,0.353763812796
83,pos,0.304188992427,0.695811007573
84,pos,0.5,0.5
85,pos,0.450710835116,0.549289164884
86,pos,0.0101615334537,0.989838466546
87,pos,0.057928168258,0.942071831742
88,pos,0.49902616997,0.50097383003
89,pos,0.202602013443,0.797397986557
90,pos,0.252136003664,0.747863996336
91,pos,0.169317255156,0.830682744844
92,pos,0.241993470047,0.758006529953
93,pos,0.184125804805,0.815874195195
94,pos,0.259143042631,0.740856957369
95,neg,0.75,0.25
96,pos,0.020910206795,0.979089793205
97,pos,0.479612682971,0.520387317029
98,pos,0.184125804805,0.815874195195
99,neg,0.913859173462,0.086140826538
100,pos,0.0476447709594,0.952355229041
101,pos,0.295523370662,0.704476629338
102,neg,0.528474076793,0.471525923207
103,neg,0.670877623413,0.329122376587
104,pos,0.39184782464,0.60815217536
105,pos,0.421716551323,0.578283448677
106,pos,0.486475827429,0.513524172571
107,neg,0.586590685791,0.413409314209
108,pos,0.0701067089821,0.929893291018
109,pos,0.292000205955,0.707999794045
110,pos,0.5,0.5
111,pos,0.348479432901,0.651520567099
112,neg,0.691762433668,0.308237566332
113,pos,0.0762306061092,0.923769393891
114,pos,0.0241637967412,0.975836203259
115,pos,0.5,0.5
116,neg,0.625,0.375
117,pos,0.174169034032,0.825830965968
118,pos,0.5,0.5
119,pos,0.178631255066,0.821368744934
120,pos,0.0176661585569,0.982333841443
121,pos,0.4625,0.5375
122,pos,0.315217391304,0.684782608696
123,pos,0.473072761508,0.526927238492
124,pos,0.5,0.5
125,neg,0.676344086022,0.323655913978
126,pos,0.0823203041766,0.917679695823
127,pos,0.405357142857,0.594642857143
128,pos,0.137633621837,0.862366378163
129,pos,0.244642041133,0.755357958867
130,pos,0.363151438555,0.636848561445
131,pos,0.0419870260643,0.958012973936
132,pos,0.166666666667,0.833333333333
133,neg,0.647580038377,0.352419961623
134,pos,0.427003959641,0.572996040359
135,pos,0.0152665162249,0.984733483775
136,pos,0.48265216265,0.51734783735
137,pos,0.0222326935596,0.97776730644
138,pos,0.0522365204142,0.947763479586
139,pos,0.209538375521,0.790461624479
140,pos,0.5,0.5
141,pos,0.017842939001,0.982157060999
142,pos,0.421875,0.578125
143,neg,0.756456953642,0.243543046358
144,neg,0.594512195122,0.405487804878
145,pos,0.5,0.5
146,pos,0.164182660813,0.835817339187
147,neg,0.836389219373,0.163610780627
148,pos,0.0325356692863,0.967464330714
149,pos,0.0754398154715,0.924560184529
150,neg,0.564021592919,0.435978407081
151,pos,0.146166269643,0.853833730357
152,pos,0.141850394836,0.858149605164
153,pos,0.416666666667,0.583333333333
154,pos,0.020910206795,0.979089793205
155,pos,0.184125804805,0.815874195195
156,pos,0.372340425532,0.627659574468
157,pos,0.309470286594,0.690529713406
158,neg,0.508013360742,0.491986639258
159,pos,0.0878775809727,0.912122419027
160,neg,0.726448293684,0.273551706316
161,pos,0.319444444444,0.680555555556
