id_str,screen_name,english,universal,content,friend,network,sentiment,temporal,user
48008046,Ava350,,0.19,0.15,,0.23,0.15,0.31,0.28,0.06,0.09,
2370639789,buxton081,,0.37,0.31,,0.44,0.18,0.21,0.24,0.24,0.27,
2531015528,TheDanielMarch,0.55,0.49,0.34,0.43,0.42,0.33,0.37,0.37
3007452653,bryan_brbennett,0.36,0.27,0.38,0.28,0.38,0.41,0.06,0.16
2714272554,RichesOliver,0.39,0.25,0.4,0.13,0.15,0.41,0.37,0.18
1459683901,bootneck,0.3,0.12,0.46,0.12,0.24,0.3,0.19,0.04
760030213,satanseyebrows,0.21,0.24,0.4,0.24,0.2,0.2,0.27,0.08
392664121,affreuxbidule,,0.32,0.15,,0.5,0.2,0.22,0.16,0.04,0.01,
,,,,,,,,,,,,
2274411566,Proud_Cons,,0.58,0.5,,0.4,0.21,0.44,0.37,0.58,0.8,
469564202,stejs9,,0.28,0.17,,0.22,0.21,0.15,0.28,0.29,0.19,
520410021,cogitator99,,0.4,0.25,,0.62,0.29,0.25,0.51,0.15,0.04,
554672034,ClownGroovy,,0.53,0.48,,0.6366666666666667,0.69,0.86,0.63,0.39,0.2,
,,,,,,,,,,,,
198510314,MartinPyke,,0.23,0.15,,0.34,0.09,0.14,0.15,0.08,0.24,
18839482,geoff2009,,0.32,0.3,,0.38,0.31,0.18,0.25,0.12,0.28,
3040345364,bouillcoud,,0.42,0.32,,0.6033333333333333,0.28,0.26,0.45,0.25,0.07,
306128133,felix52felix,,0.26,0.08,,0.46,0.1,0.13,0.12,0.19,0.05,
268314481,RyanPaisey,,0.28,0.17,,0.39,0.14,0.17,0.13,0.23,0.07,
69227791,josefajram,,0.49,0.56,,0.33,0.21,0.25,0.07,0.2,0.61,
,,,,,,,,,,,,
91453718,ForMotionCreatv,,0.35,0.18,,0.38,0.24,0.33,0.29,0.12,0.16,
22926365,tagesspiegel,,0.42,0.39,,0.51,0.38,0.48,0.07,0.27,0.21,
95869966,VernieBot,,0.42,0.41,,0.57,0.54,0.4,0.36,0.4,0.25,
62245276,andytate123,,0.18,0.1,,0.45,0.1,0.11,0.09,0.21,0.13,
,,,,,,,,,,,,
,,,,,,,,,,,,
261711452,dr_shibley,0.45,0.25,0.38,0.23,0.19,0.3,0.18,0.4
20867110,KatrinaMarie8,0.42,0.41,0.53,0.29,0.41,0.65,0.6,0.31
98050857,micomight,0.24,0.26,0.32,0.22,0.24,0.21,0.14,0.25
120100776,Hoffnar,0.4,0.25,0.54,0.12,0.34,0.2,0.23,0.21
163999582,JackSayan,0.28,0.33,0.35,0.4,0.52,0.15,0.45,0.2
2911027876,EarreyRaymond,,0.17,0.26,,0.36,0.2,0.21,0.23,0.26,0.09,
3200448358,CVospernik,,0.52,0.37,,0.62,0.37,0.42,0.38,0.31,0.58,
2251510487,AllenCummings6,,0.35,0.26,,0.39,0.25,0.36,0.5,0.15,0.08,
,,,,,,,,,,,,
,,,,,,,,,,,,
177864966,dr_asengupta,0.45,0.43,0.47,0.37,0.39,0.76,0.52,0.3
1872769464,CenLD,0.52,0.31,0.41,0.42,0.25,0.31,0.15,0.47
2383233337,LeeUpcraft,0.25,0.26,0.41,0.25,0.12,0.24,0.3,0.12
1708517112,dan_z_liberce,0.3,0.28,0.40333333333333327,0.14,0.11,0.19,0.15,0.21
46397719,Analogue_,0.54,0.49,0.43,0.38,0.38,0.55,0.43,0.45
809169684,cloudsmari,0.12,0.09,0.18,0.14,0.2,0.09,0.17,0.11
397149017,simop25,0.13,0.14,0.46,0.16,0.19,0.11,0.24,0.02
2595978877,rodadams46,0.4,0.3,0.34,0.42,0.35,0.24,0.3,0.43
4821980768,JilliSizzle,0.47,0.45,0.42,0.34,0.52,0.26,0.55,0.19
258348448,MetaMan1979,0.24,0.14,0.46,0.23,0.11,0.3,0.07,0.06
,,,,,,,,,,,,
,65847497,pricey146,,0.46,0.44,,0.54,0.55,0.33,0.5,0.57,0.55
,388496755,ipopgr,,0.31,0.46,,0.47,0.39,0.6,0.25,0.53,0.33
,389365635,Rob_Coppinger,,0.36,0.3,,0.43,0.31,0.39,0.34,0.49,0.06
,275938865,sakarisainio,,0.29,0.1,,0.43,0.22,0.1,0.07,0.09,0.05
66109042,celestialhost,0.36,0.26,0.52,0.3,0.24,0.2,0.18,0.14
38634848,dlang57500,0.52,0.41,0.45,0.53,0.51,0.19,0.19,0.3
15000549,nmhrbrtsn,0.11,0.06,0.31,0.13,0.13,0.15,0.16,0.09
722408228160741377,Gwendie3,0.3,0.34,0.38,0.43,0.25,0.32,0.31,0.36
701174357,EliasNeus,0.27,0.32,0.38,0.11,0.26,0.37,0.37,0.1
2777522071,trumpandpump,,0.45,0.45,,0.52,0.4,0.47,0.54,0.49,0.42,
,,,,,,,,,,,,
43589147,JackieLeotardi,,0.39,0.31,,0.53,0.25,0.4,0.55,0.27,0.37,
99333493,ottocrat,,0.31,0.17,,0.35,0.23,0.3,0.13,0.15,0.13,
1974823152,hugo4de,,0.64,0.58,,0.48,0.53,0.53,0.42,0.23,0.56,
